"TmdbId","Servie Type","ImdbId","Backdrop Path","Poster Path","Title","Overview","Status","Tagline","Language","Popularity","Collection Id","Collection Name","Collection Poster Path","Collection Backdrop Path","Release Date","Runtime"
"129","movie","tt0245429","/Ab8mkHmkYADjU7wQiOkia9BzGvS.jpg","/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","Spirited Away","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","Released","","ja","71.8",,,,,"2001-07-20","125"
"141","movie","tt0246578","/msCHK5Kh1YbdZ0zPJ2nzPUhhSN9.jpg","/j73zf3TjWR9j8pHLndaHWh0YWvN.jpg","Donnie Darko","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","Released","28 days, 6 hours, 42 minutes, 12 seconds... that is when the world will end.","en","31.966","178106","Darko Collection","/f3DaaNRpyeZawist5Qt21hlzL2I.jpg","/hja7IzXp6how8eD1WHriI386TGY.jpg","2001-10-24","114"
"149","movie","tt0094625","/fK40VGYIm7hmKrLJ26fgPQU0qRG.jpg","/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg","Akira","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.","Released","Neo-Tokyo is about to E.X.P.L.O.D.E.","ja","34.268",,,,,"1988-07-16","124"
"153","movie","tt0335266","/45He7gApNQyDbqCDjxew9BnHzjf.jpg","/wkSzJs7oMf8MIr9CQVICsvRfwA7.jpg","Lost in Translation","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.","Released","Everyone wants to be found.","en","26.773",,,,,"2003-09-18","102"
"155","movie","tt0468569","/nMKdUUepR0i5zn0y1T4CsSB5chy.jpg","/qJ2tW6WMUDux911r6m7haRef0WH.jpg","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Released","Welcome to a world without rules.","en","86.234","263","The Dark Knight Collection","/hGvOMQBD88jAV0olS2DT1AxreHn.jpg","/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg","2008-07-14","152"
"161","movie","tt0240772","/boI3myFhWBvQcru4zZ15aJ0u3CX.jpg","/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg","Ocean's Eleven","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.","Released","Are you in or out?","en","39.831","304","Ocean's Collection","/oHUHccvraYF8lYp6BxRoujRtH8Q.jpg","/7WUSrq8DqSkVgv1vmhBvav5bPoB.jpg","2001-12-07","116"
"163","movie","tt0349903","/5b5HrewiViLWEdMR4dmbd7ajQ8Q.jpg","/Ad55M8newGWemFWCsMAkxO3fDwl.jpg","Ocean's Twelve","Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.","Released","Twelve is the new eleven.","en","27.627","304","Ocean's Collection","/oHUHccvraYF8lYp6BxRoujRtH8Q.jpg","/7WUSrq8DqSkVgv1vmhBvav5bPoB.jpg","2004-12-09","125"
"165","movie","tt0096874","/su0cmtK55eKXq0QjW68LQslUhUY.jpg","/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg","Back to the Future Part II","Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.","Released","Roads? Where we're going, we don't need roads!","en","35.179","264","Back to the Future Collection","/5Xsu2o5IsZRuuxCEVZ9nVve21FP.jpg","/AqQotqj7XOI6GjB28nhMMa8YzOT.jpg","1989-11-22","108"
"169","movie","tt0100403","/7PoWlbQg7ZxgwofFRrkytvpLvJD.jpg","/mSta5O31rPUcZH98psx0cxLbPXd.jpg","Predator 2","A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.","Released","Silent. Invisible. Invincible. He’s in town with a few days to kill.","en","42.462","399","Predator Collection","/mm2t5dd1QFxtX6X56Z9U5ucsIb1.jpg","/fXVzk9OxQwROCuiWvd0Cv76qmZi.jpg","1990-11-21","108"
"176","movie","tt0387564","/ok4ot3YbfDYZcINXf91JUfq3maB.jpg","/4da0TS3iQ1IzuyhDS8elgkmOfrN.jpg","Saw","Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...","Released","Live or die. Make your choice.","en","80.701","656","Saw Collection","/xmC2A7qPEfiOkQC58fZh8srWQ5v.jpg","/oLfS1lOmN2KIU2IQ200SDEPVEZe.jpg","2004-10-01","103"
