"Genre Id","Servie Tmdb Id","Servie Type"
"4","3638","movie"
"7","3638","movie"
"18","3638","movie"
"4","3981","movie"
"18","3981","movie"
"1","4141","movie"
"4","4141","movie"
"5","4141","movie"
"23","4141","movie"
"4","4157","movie"
"7","4157","movie"
"18","4157","movie"
"4","4252","movie"
"7","4252","movie"
"18","4252","movie"
"4","4253","movie"
"7","4253","movie"
"8","4253","movie"
"18","4253","movie"
"4","4254","movie"
"7","4254","movie"
"18","4254","movie"
"1","4327","movie"
"2","4327","movie"
"4","4327","movie"
"5","4327","movie"
"23","4327","movie"
"7","4347","movie"
"18","4347","movie"
"1","4421","movie"
"7","4421","movie"
"1","4435","movie"
"2","4435","movie"
"7","4435","movie"
"10","4435","movie"
"18","4435","movie"
"24","4435","movie"
"4","4507","movie"
"7","4507","movie"
"18","4507","movie"
"7","4553","movie"
"23","4553","movie"
"1","4686","tv"
"2","4686","tv"
"3","4686","tv"
"4","4686","tv"
"9","4686","tv"
"19","4686","tv"
"7","4922","movie"
"9","4922","movie"
"18","4922","movie"
"4","4964","movie"
"7","4964","movie"
"18","4964","movie"
"1","5174","movie"
"4","5174","movie"
"5","5174","movie"
"1","5175","movie"
"4","5175","movie"
"5","5175","movie"
"4","5236","movie"
"5","5236","movie"
"14","5236","movie"
"23","5236","movie"
"2","5255","movie"
"3","5255","movie"
"4","5255","movie"
"8","5255","movie"
"9","5255","movie"
"4","5319","movie"
"7","5319","movie"
"18","5319","movie"
"2","5559","movie"
"3","5559","movie"
"4","5559","movie"
"8","5559","movie"
"2","5915","movie"
"7","5915","movie"
"1","6038","movie"
"2","6038","movie"
"4","6038","movie"
"25","6038","movie"
"1","6040","tv"
"2","6040","tv"
"3","6040","tv"
"9","6040","tv"
"19","6040","tv"
"7","6479","movie"
"19","6479","movie"
"23","6479","movie"
"2","6795","movie"
"8","6795","movie"
"19","6795","movie"
"4","6957","movie"
"18","6957","movie"
"7","7214","movie"
"10","7214","movie"
"7","7445","movie"
"23","7445","movie"
"24","7445","movie"
"1","7451","movie"
"2","7451","movie"
"23","7451","movie"
"1","7485","movie"
"5","7485","movie"
"7","7485","movie"
"14","7485","movie"
"23","7485","movie"
"7","7508","movie"
"1","7555","movie"
"23","7555","movie"
"24","7555","movie"
"1","7737","movie"
"11","7737","movie"
"19","7737","movie"
"4","7913","movie"
"7","7913","movie"
"10","7913","movie"
"4","8079","movie"
"7","8079","movie"
"23","8079","movie"
"4","8273","movie"
"18","8273","movie"
"4","8274","movie"
"4","8275","movie"
"4","8277","movie"
"7","8328","movie"
"13","8328","movie"
"18","8328","movie"
"2","8355","movie"
"3","8355","movie"
"4","8355","movie"
"8","8355","movie"
"2","8358","movie"
"7","8358","movie"
"4","8363","movie"
"1","8373","movie"
"2","8373","movie"
"19","8373","movie"
"4","8390","movie"
"18","8390","movie"
"1","8453","movie"
"7","8453","movie"
"18","8453","movie"
"23","8453","movie"
"1","8456","movie"
"7","8456","movie"
"4","8488","movie"
"7","8488","movie"
"18","8488","movie"
"7","8489","movie"
"1","8536","movie"
"2","8536","movie"
"19","8536","movie"
"1","8584","movie"
"2","8584","movie"
"4","8584","movie"
"25","8584","movie"
"3","8587","movie"
"7","8587","movie"
"8","8587","movie"
"1","8681","movie"
"23","8681","movie"
"1","8697","movie"
"2","8697","movie"
"4","8697","movie"
"23","8697","movie"
"4","8699","movie"
"2","8844","movie"
"8","8844","movie"
"9","8844","movie"
"1","8856","movie"
"2","8856","movie"
"7","8856","movie"
"8","8856","movie"
"18","8856","movie"
"1","8909","movie"
"5","8909","movie"
"23","8909","movie"
"1","8914","movie"
"11","8914","movie"
"19","8914","movie"
"1","8960","movie"
"9","8960","movie"
"1","8961","movie"
"2","8961","movie"
"4","8961","movie"
"5","8961","movie"
"23","8961","movie"
"7","8966","movie"
"9","8966","movie"
"18","8966","movie"
"1","8982","movie"
"5","8982","movie"
"7","8982","movie"
"23","8982","movie"
"11","8997","movie"
"19","8997","movie"
"23","8997","movie"
"4","9029","movie"
"18","9029","movie"
"1","9056","movie"
"5","9056","movie"
"23","9056","movie"
"2","9273","movie"
"4","9273","movie"
"5","9273","movie"
"11","9286","movie"
"14","9286","movie"
"4","9291","movie"
"1","9316","movie"
"2","9316","movie"
"5","9316","movie"
"23","9316","movie"
"4","9339","movie"
"7","9339","movie"
"9","9339","movie"
"4","9346","movie"
"7","9346","movie"
"18","9346","movie"
"4","9352","movie"
"2","9354","movie"
"4","9354","movie"
"8","9354","movie"
"19","9354","movie"
"11","9358","movie"
"14","9358","movie"
"2","9360","movie"
"11","9360","movie"
"23","9360","movie"
"1","9362","movie"
"11","9362","movie"
"19","9362","movie"
"1","9383","movie"
"19","9383","movie"
"23","9383","movie"
"4","9390","movie"
"7","9390","movie"
"18","9390","movie"
"1","9404","movie"
"2","9404","movie"
"4","9404","movie"
"5","9404","movie"
"7","9404","movie"
"23","9404","movie"
"1","9461","movie"
"1","9470","movie"
"4","9470","movie"
"5","9470","movie"
"9","9470","movie"
"1","9471","movie"
"2","9471","movie"
"4","9471","movie"
"1","9480","movie"
"9","9480","movie"
"1","9486","movie"
"2","9486","movie"
"4","9486","movie"
"2","9487","movie"
"3","9487","movie"
"4","9487","movie"
"8","9487","movie"
"1","9488","movie"
"2","9488","movie"
"4","9488","movie"
"8","9488","movie"
"19","9488","movie"
"1","9502","movie"
"2","9502","movie"
"3","9502","movie"
"4","9502","movie"
"8","9502","movie"
"1","9531","movie"
"2","9531","movie"
"4","9531","movie"
"19","9531","movie"
"11","9532","movie"
"1","9615","movie"
"5","9615","movie"
"7","9615","movie"
"23","9615","movie"
"1","9620","movie"
"2","9620","movie"
"14","9620","movie"
"19","9620","movie"
"23","9620","movie"
"2","9637","movie"
"4","9637","movie"
"14","9637","movie"
"1","9654","movie"
"5","9654","movie"
"4","9714","movie"
"8","9714","movie"
"1","9732","movie"
"2","9732","movie"
"3","9732","movie"
"8","9732","movie"
"1","9737","movie"
"4","9737","movie"
"5","9737","movie"
"23","9737","movie"
"1","9738","movie"
"2","9738","movie"
"9","9738","movie"
"19","9738","movie"
"5","9762","movie"
"7","9762","movie"
"13","9762","movie"
"18","9762","movie"
"7","9763","movie"
"5","9766","movie"
"7","9766","movie"
"4","9788","movie"
"1","9798","movie"
"7","9798","movie"
"23","9798","movie"
"1","9799","movie"
"5","9799","movie"
"23","9799","movie"
"1","9802","movie"
"2","9802","movie"
"23","9802","movie"
"1","9806","movie"
"2","9806","movie"
"3","9806","movie"
"8","9806","movie"
"7","9815","movie"
"3","9836","movie"
"4","9836","movie"
"8","9836","movie"
"2","9837","movie"
"3","9837","movie"
"7","9837","movie"
"8","9837","movie"
"11","9902","movie"
"23","9902","movie"
"3","9928","movie"
"4","9928","movie"
"8","9928","movie"
"19","9928","movie"
"4","9965","movie"
"1","9990","movie"
"5","9990","movie"
"7","9990","movie"
"23","9990","movie"
"4","10025","movie"
"7","10025","movie"
"8","10025","movie"
"9","10025","movie"
"18","10025","movie"
"4","10032","movie"
"1","10054","movie"
"2","10054","movie"
"4","10054","movie"
"8","10054","movie"
"2","10137","movie"
"4","10137","movie"
"8","10137","movie"
"9","10137","movie"
"1","10138","movie"
"2","10138","movie"
"19","10138","movie"
"2","10140","movie"
"8","10140","movie"
"9","10140","movie"
"1","10159","movie"
"2","10159","movie"
"4","10159","movie"
"23","10159","movie"
"2","10191","movie"
"3","10191","movie"
"8","10191","movie"
"9","10191","movie"
"2","10192","movie"
"3","10192","movie"
"4","10192","movie"
